healer,failure_rate,healing_ratio,edges_activated,total_cost,avg_cost,is_healed,heal_time_ms
kruskal_dsu,0.1,1.0,0,0,0.0,True,0.689
kruskal_dsu,0.15,1.0,0,0,0.0,True,0.622
kruskal_dsu,0.2,1.0,0,0,0.0,True,0.559
kruskal_dsu,0.25,1.0,1,7.97,7.97,True,0.828
kruskal_dsu,0.3,1.0,3,36.62,12.21,True,1.08
kruskal_dsu,0.35,0.75,3,36.62,12.21,False,1.422
kruskal_dsu,0.4,0.6666666666666666,4,46.08,11.52,False,0.921
random,0.1,1.0,0,0,0.0,True,0.849
random,0.15,1.0,0,0,0.0,True,0.668
random,0.2,1.0,0,0,0.0,True,0.59
random,0.25,1.0,1,19.35,19.35,True,0.756
random,0.3,1.0,3,57.27,19.09,True,0.99
random,0.35,0.75,3,57.41,19.14,False,1.227
random,0.4,0.6666666666666666,4,76.5,19.12,False,1.125
degree_based,0.1,1.0,0,0,0.0,True,0.678
degree_based,0.15,1.0,0,0,0.0,True,1.158
degree_based,0.2,1.0,0,0,0.0,True,0.595
degree_based,0.25,1.0,1,19.35,19.35,True,0.84
degree_based,0.3,1.0,3,59.11,19.7,True,1.792
degree_based,0.35,0.75,3,57.41,19.14,False,1.189
degree_based,0.4,0.6666666666666666,4,70.48,17.62,False,0.936
